ID|CLASE
44198C2A811A4DF4|PUBLIC
216F638609E0E39E|OFFICE
FFFCEFB11E257364|RESIDENTIAL
596C5C8CE10BCF|OFFICE
F931B9FA2A8641D1|OTHER
40DAB608E9BB39DD|OTHER
B2B65732D8736C6C|OFFICE
BB69C4F75EF7BF6D|RESIDENTIAL
73877546C8B7D956|INDUSTRIAL
228E4D7314BC2839|PUBLIC
551BFF44309E8B18|INDUSTRIAL
B18FB9ABFEFF7CD1|OFFICE
C2C4DA06F625CEA8|RETAIL
762B30B5130B6EF3|OFFICE
5A0A7A3E79CA448C|RESIDENTIAL
97C0B6CDEA7B8D0F|INDUSTRIAL
556F2DA6F9A4C36E|PUBLIC
733C1A5A045EAB7E|PUBLIC
01B39106F8199EDC|INDUSTRIAL
CB0A22127EE6A0E0|PUBLIC
8DDEDCAAABFC44E5|PUBLIC
48E25C9D9F11A229|OFFICE
0B8310A5B2D2A6A2|RESIDENTIAL
EA301094DE57B7DD|PUBLIC
A24D46FCA46905C8|OFFICE
B20C4F1B162D430C|OTHER
0174018F3B1A3F5F|PUBLIC
F0B5F20AC6B02E4A|PUBLIC
05D1FE3F4A1D5CEA|INDUSTRIAL
7BA9128D5A358FCE|RESIDENTIAL
03895F2C845CDBFF|OFFICE
9CB19C34D02BCA4F|OFFICE
CF2D749706DDABC2|PUBLIC
A01E3A04BB2F0989|INDUSTRIAL
9C13E8F4ADCA11D3|RETAIL
4C9BADC1E986D2C8|OFFICE
E7C9F0A4178A765A|PUBLIC
0DDA3C640326115C|INDUSTRIAL
104E559538FC8C0D|INDUSTRIAL
A2FF533730AD840E|OFFICE
1B394C868FF68108|OTHER
EDB86BB956709795|OTHER
E4EC6393BB492769|OFFICE
DA23ED25C1A9789B|PUBLIC
9B06B0E0E7357A22|INDUSTRIAL
8E6E0519543D41E2|INDUSTRIAL
53EED3B45BE4EA64|INDUSTRIAL
D10F0343FA74B6|OFFICE
7F56D8BFAF3303EC|PUBLIC
2D48658754EFA0BC|INDUSTRIAL
F92C00DEEE799A42|PUBLIC
FF74AF4441E90C03|INDUSTRIAL
B1D4373A1C719FD1|OFFICE
B6CE765A8E7A2FE7|INDUSTRIAL
CE9D81FE183DF999|INDUSTRIAL
171A312B7AD2394C|INDUSTRIAL
D22752FD82177146|INDUSTRIAL
B1A961E398E237C7|OFFICE
6E5ABA601EB9A85D|INDUSTRIAL
4D68BC331EFAE966|RESIDENTIAL
D9309E0A3DC516A4|INDUSTRIAL
04AEF97CA58C362F|PUBLIC
5E4389AE6B257119|INDUSTRIAL
11C653C9EAF2C4CB|INDUSTRIAL
66778E2B148E43F0|INDUSTRIAL
FF1E074A84283E2B|RETAIL
3BA76425065ED7CC|OFFICE
AC5A270BB16F0ED5|OTHER
C0535F2C74D7DFE3|PUBLIC
4F2E5B2CDC3D239A|PUBLIC
FFE91C403DD6BCF9|RESIDENTIAL
88CA5C2350E14F50|PUBLIC
F07989CF3B4FFDF1|RETAIL
BD67A587F0279D14|RESIDENTIAL
350D8686A41ADCAC|OFFICE
